template_name,line_order,account_code,account_hint,position,formula,description
Setoran Modal,1,1.1.01,,DEBIT,amount,Penerimaan kas
Setoran Modal,2,3.1.01,,CREDIT,amount,Modal pemilik
Pembelian Bahan Baku - Tunai,1,1.1.20,,DEBIT,amount,Persediaan bahan baku
Pembelian Bahan Baku - Tunai,2,1.1.01,,CREDIT,amount,Pembayaran kas
Pembelian Bahan Baku - Kredit,1,1.1.20,,DEBIT,amount,Persediaan bahan baku
Pembelian Bahan Baku - Kredit,2,2.1.02,,CREDIT,amount,Hutang usaha
Produksi Barang Jadi,1,1.1.21,,DEBIT,amount,Persediaan barang jadi
Produksi Barang Jadi,2,1.1.20,,CREDIT,amount,Persediaan bahan baku
Penjualan Tunai + COGS,1,1.1.01,,DEBIT,amount,Penerimaan kas penjualan
Penjualan Tunai + COGS,2,4.1.01,,CREDIT,amount,Pendapatan penjualan
Penjualan Tunai + COGS,3,5.1.01,,DEBIT,cogs,Harga Pokok Penjualan
Penjualan Tunai + COGS,4,1.1.21,,CREDIT,cogs,Persediaan barang jadi
Bayar Gaji,1,6.1.01,,DEBIT,amount,Beban gaji
Bayar Gaji,2,1.1.01,,CREDIT,amount,Pembayaran kas
Bayar Sewa,1,6.2.01,,DEBIT,amount,Beban sewa
Bayar Sewa,2,1.1.01,,CREDIT,amount,Pembayaran kas
Bayar Listrik,1,6.2.02,,DEBIT,amount,Beban listrik
Bayar Listrik,2,1.1.01,,CREDIT,amount,Pembayaran kas
Pembelian Persediaan,1,,PERSEDIAAN,DEBIT,amount,Persediaan masuk
Pembelian Persediaan,2,,BANK,CREDIT,amount,Pembayaran dari bank
Penjualan Persediaan,1,,BANK,DEBIT,revenueAmount,Penerimaan penjualan
Penjualan Persediaan,2,,HPP,DEBIT,cogsAmount,Harga pokok penjualan
Penjualan Persediaan,3,,PENJUALAN,CREDIT,revenueAmount,Pendapatan penjualan
Penjualan Persediaan,4,,PERSEDIAAN,CREDIT,cogsAmount,Persediaan keluar
Penyesuaian Persediaan Masuk,1,,PERSEDIAAN,DEBIT,amount,Persediaan bertambah
Penyesuaian Persediaan Masuk,2,7.1,,CREDIT,amount,Pendapatan lain-lain
Penyesuaian Persediaan Keluar,1,8.1,,DEBIT,amount,Beban penyesuaian persediaan
Penyesuaian Persediaan Keluar,2,,PERSEDIAAN,CREDIT,amount,Persediaan berkurang
